movie_id,genre_name
22821,Short
22839,Documentary
22839,Family
22839,Short
22850,Short
22857,Short
22857,Thriller
22866,Short
22955,Drama
22955,Thriller
23066,Short
23073,Action
23073,Adventure
23073,Animation
23105,Drama
23109,Short
23139,Documentary
23184,Fantasy
23232,Drama
23232,Family
23232,Romance
23248,Adventure
23264,Animation
23264,Comedy
23264,Short
23291,Documentary
23291,Drama
23318,Documentary
23323,Documentary
23323,Music
23325,Animation
23325,Short
23334,Action
23334,Comedy
23334,Horror
23334,Sci-Fi
23339,Action
23339,Drama
23339,Thriller
23341,Adventure
23341,Comedy
23341,Horror
23341,Sci-Fi
23368,Comedy
23368,Crime
23373,Thriller
23384,Sci-Fi
23384,Short
23384,Thriller
23400,Horror
23425,Short
23448,Comedy
23448,Horror
23448,Sci-Fi
23491,Documentary
23532,Short
23577,Adult
23616,Short
23650,Short
23675,Animation
23675,Short
23734,Romance
23757,Comedy
23766,Comedy
23766,Drama
23766,Romance
23841,Drama
23850,Short
23884,Comedy
23916,Comedy
23916,Music
23927,Music
23934,Music
23936,Drama
23936,Fantasy
23936,Mystery
23936,Short
23936,Thriller
23943,Comedy
2165,Adult
2174,Comedy
2174,Crime
2174,Short
2174,Thriller
2176,Animation
2176,Short
2183,Documentary
19425,Documentary
19428,Fantasy
19428,Romance
19428,Sci-Fi
19428,Short
19491,Comedy
19491,Western
19494,Comedy
19494,Short
19561,Adventure
19561,Family
19561,Fantasy
19593,Romance
19609,Action
19609,Fantasy
19609,Horror
19677,Short
19744,Drama
19744,Short
19760,Documentary
19777,Animation
19778,Animation
19779,Action
19779,Adventure
19779,Animation
19792,Horror
19826,Animation
19826,Short
19843,Drama
19843,Short
19846,Documentary
19846,Short
19876,Action
19877,Documentary
19910,Thriller
19928,Thriller
19993,Short
19994,Music
19996,Drama
19996,Short
19996,Thriller
20026,Drama
20044,Action
20044,Adventure
20044,Drama
20045,Documentary
20045,Drama
20046,Documentary
20061,Drama
20061,War
20112,Short
20195,Drama
20213,Music
20327,Documentary
20330,Comedy
20330,Crime
20330,Romance
20347,Drama
20360,Drama
20360,Family
20360,Romance
20362,Drama
20377,Documentary
20395,Short
20396,Drama
20396,Short
20413,Short
20427,Drama
20444,Documentary
20447,Documentary
20478,Action
20478,Animation
20479,Action
20479,Animation
20480,Action
20480,Animation
20481,Action
20481,Animation
20497,Action
20514,Action
20514,Adventure
20514,Animation
20514,War
20530,Documentary
20531,Documentary
20531,Short
20547,Documentary
20547,Drama
20562,Documentary
20663,Drama
20663,Short
20713,Comedy
20713,Drama
20728,Short
20828,Drama
20830,Short
20845,Drama
20862,Sci-Fi
20862,Short
20863,Short
20912,Comedy
20913,Documentary
20929,Crime
20929,Drama
20929,Thriller
20965,Documentary
20965,Short
20979,Comedy
20979,Short
20980,Documentary
20980,Short
20999,Documentary
21012,Short
21014,Drama
21014,Thriller
21015,Family
21032,Documentary
21046,Comedy
21046,Drama
21048,Short
21180,Comedy
21180,Drama
21213,Adventure
21213,Drama
21213,Sci-Fi
21232,Documentary
21232,Short
21348,Drama
21381,Documentary
21414,Short
21417,Animation
21417,Comedy
21417,Short
21448,Comedy
21448,Drama
21448,Romance
21530,Documentary
21530,Short
21531,Crime
21531,Drama
21531,Thriller
21582,Documentary
21582,Thriller
21582,War
21584,Action
21584,Short
21597,Thriller
21782,Horror
21783,Drama
21800,Mystery
21800,Short
21801,Short
21850,Drama
21850,Short
21915,Adult
21935,Short
21965,Adult
21967,Adult
21999,Drama
22000,Comedy
22001,Short
22015,Drama
22015,Short
22065,Documentary
22066,Comedy
22066,Family
22066,Musical
22083,Documentary
22116,Short
22118,Action
22118,Drama
22118,Romance
22183,Musical
22199,Short
22603,Action
22603,Adventure
22603,Animation
22603,Sci-Fi
22617,Documentary
22633,Short
22637,Short
22651,Sci-Fi
22651,Thriller
22687,Adventure
22687,Animation
22702,Drama
22703,Short
22719,Drama
22719,Short
22735,Horror
22735,Thriller
22770,Drama
22785,Music
22785,Short
22786,Documentary
22786,Short
22802,Drama
22817,Short
22835,Short
22869,Drama
22869,Horror
22921,Music
22968,Comedy
22968,Short
22987,Short
23019,Short
23053,Animation
23053,Comedy
23053,Fantasy
23053,Short
23071,Action
23071,Adventure
23071,Animation
23071,Family
23118,Documentary
23186,Short
23202,Action
23203,Documentary
23221,Drama
23221,Thriller
23252,Documentary
23254,Action
23254,Adventure
23254,Animation
23254,Comedy
23254,Family
23255,Action
23255,Adventure
23255,Animation
23255,Fantasy
23255,Sci-Fi
23305,Animation
23305,Musical
23305,Short
23319,Documentary
23322,Documentary
23322,Music
23336,Short
23338,Thriller
23371,Comedy
23371,Short
23385,Drama
23387,Documentary
23403,Documentary
23452,Comedy
23452,Horror
23452,Sci-Fi
23455,Comedy
23455,Sci-Fi
23469,Comedy
23469,Horror
23502,Drama
23519,Drama
23536,Comedy
23538,Short
23553,Horror
23553,Thriller
23554,Comedy
23554,Short
23569,Action
23569,Adventure
23569,Drama
23569,War
23570,Drama
2479,Sci-Fi
2479,Short
2495,Crime
2495,Short
2513,Adult
2514,Documentary
2528,Short
2562,Music
2564,Action
2581,Music
2596,Comedy
2596,Romance
2596,Short
2614,Family
2632,Horror
2632,Thriller
2647,Drama
2647,Short
2409,Short
2427,Adult
2432,Adult
2434,Adult
2443,Drama
2443,Thriller
2450,Drama
2450,Short
2459,Comedy
2459,Short
2468,Documentary
2468,Short
2482,Documentary
2493,Adventure
2493,Animation
2493,Family
2502,Documentary
2511,Action
2511,Comedy
2511,Short
2511,Thriller
2516,Music
2532,Comedy
2534,Short
2541,Family
2593,Short
2600,Comedy
2600,Short
2602,Drama
2625,Documentary
2627,Comedy
2634,Comedy
2634,Romance
2659,Action
2659,Crime
2659,Horror
2659,Mystery
2659,Thriller
2677,Short
2684,Documentary
2691,Thriller
2709,Comedy
2709,Romance
2725,Documentary
2727,Comedy
2727,Documentary
2734,Short
2752,Family
2761,Documentary
2761,Family
2770,Family
2784,Musical
2791,Adventure
2791,Comedy
2843,Comedy
2852,Drama
2868,Drama
2870,Crime
2875,Drama
2875,Mystery
2875,Short
2886,Short
2900,Comedy
2900,Fantasy
2900,Short
2900,Thriller
2918,Action
2918,Thriller
2920,Horror
2945,Comedy
2945,Short
2950,Short
2952,Short
2959,Family
2968,Comedy
2970,Documentary
2995,Action
2995,Comedy
3011,Documentary
3027,Documentary
3027,Family
3036,Short
3052,Documentary
3054,Comedy
3068,Musical
3068,Short
3070,Thriller
3093,Short
3095,Comedy
3095,Crime
3109,Action
3109,Comedy
3109,Drama
3127,Comedy
3127,Short
3134,Documentary
3143,Comedy
3143,Short
3154,Documentary
3154,Short
3159,Horror
3159,Short
3161,Drama
3161,Short
3184,Romance
3193,Documentary
3204,Drama
3211,Documentary
3245,Documentary
3252,Music
3261,Action
3261,Drama
3279,Drama
3279,Short
3284,Horror
3284,Mystery
3284,Sci-Fi
3311,Comedy
3311,Drama
3313,Music
3318,Documentary
3320,Comedy
3393,Family
3393,Music
3395,Comedy
3395,Western
3402,Adult
3470,Comedy
3486,Animation
3486,Short
3502,Documentary
3538,Short
3547,Adventure
3547,Crime
3552,Documentary
3572,Short
3588,Documentary
3595,Documentary
3597,Documentary
3602,Documentary
3611,Documentary
3620,Documentary
3622,Documentary
3627,Documentary
3629,Documentary
3636,Documentary
3638,Documentary
3645,Documentary
3647,Documentary
3652,Documentary
3654,Documentary
3663,Documentary
3670,Documentary
3672,Documentary
3677,Documentary
3686,Documentary
3688,Documentary
3697,Documentary
3711,Documentary
3713,Documentary
3722,Documentary
3738,Documentary
3745,Documentary
3747,Documentary
3752,Documentary
3756,Documentary
3761,Documentary
3763,Documentary
3770,Documentary
3772,Documentary
3779,Documentary
3781,Documentary
3786,Documentary
3788,Documentary
3795,Documentary
3797,Documentary
3811,Documentary
3822,Documentary
3836,Documentary
3838,Documentary
3845,Documentary
3847,Documentary
3856,Documentary
3861,Documentary
3863,Documentary
3870,Documentary
3879,Documentary
3888,Documentary
3895,Documentary
3897,Documentary
3904,Documentary
3906,Documentary
3911,Documentary
3913,Documentary
3947,Comedy
3947,Drama
3947,Short
3956,Comedy
3981,Adventure
3981,Sci-Fi
3981,Short
3981,Thriller
3988,Drama
3988,Thriller
3997,Drama
3997,Fantasy
3997,Mystery
4254,Action
4254,Drama
4299,Drama
4338,Thriller
4363,Crime
4363,Drama
4365,Adult
4372,Adult
4374,Adult
4379,Adult
4381,Adult
4388,Adult
4390,Adult
4438,Drama
4463,Drama
4463,Horror
4465,Action
4465,Crime
4522,Drama
4538,Drama
4538,Short
4588,Documentary
4590,Drama
4590,Family
4640,Comedy
4681,Short
4699,Comedy
4699,Drama
4699,Romance
4742,Short
4749,Action
4749,Crime
4806,Short
4815,Drama
4822,Horror
4990,Drama
4990,Short
5006,Comedy
5042,Short
5076,Short
5101,Short
5117,Documentary
5117,Short
5126,Drama
5149,Horror
5151,Documentary
5151,Short
5183,Drama
5185,Documentary
5185,Short
5215,Crime
5215,Drama
5215,Horror
5226,Documentary
5249,Documentary
24476,Comedy
24496,Adventure
24496,Comedy
24496,Drama
24496,Romance
24503,Drama
24526,Action
24526,Comedy
24571,Drama
24571,Thriller
24610,Short
24626,Documentary
24628,Crime
24628,Documentary
24635,Documentary
2185,Documentary
2190,Documentary
2190,War
2192,Documentary
2192,Short
2201,Comedy
2201,Romance
2210,Comedy
2210,Drama
2210,Romance
2251,Animation
2251,Short
2258,Music
2274,Music
2290,Family
2292,Comedy
2324,Comedy
2333,Drama
2358,Documentary
2367,Music
2383,Drama
2383,Short
2385,Short
2390,Animation
2390,Family
2394,Documentary
2394,Music
2399,Music
2408,Short
2442,Adult
